mua_ex[1/cm]    mus_ex[1/cm]    mua_em[1/cm]    mus_em[1/cm]    PHD_Int[1/cm2]
1.0000E+00      1.0000E+00      1.0000E-01      1.0000E-01      2.8341E+03
1.0000E+00      1.0000E+00      1.0000E-01      2.7826E-01      1.3722E+03
1.0000E+00      1.0000E+00      1.0000E-01      7.7426E-01      5.2073E+02
1.0000E+00      1.0000E+00      1.0000E-01      2.1544E+00      2.2636E+02
1.0000E+00      1.0000E+00      1.0000E-01      5.9948E+00      1.3975E+02
1.0000E+00      1.0000E+00      1.0000E-01      1.6681E+01      8.9608E+01
1.0000E+00      1.0000E+00      1.0000E-01      4.6416E+01      5.9342E+01
1.0000E+00      1.0000E+00      1.0000E-01      1.2915E+02      4.4732E+01
1.0000E+00      1.0000E+00      1.0000E-01      3.5938E+02      4.4321E+01
1.0000E+00      1.0000E+00      1.0000E-01      1.0000E+03      5.6080E+01
1.0000E+00      1.0000E+00      1.6238E-01      1.0000E-01      2.0533E+03
1.0000E+00      1.0000E+00      1.6238E-01      2.7826E-01      1.1300E+03
1.0000E+00      1.0000E+00      1.6238E-01      7.7426E-01      4.7576E+02
1.0000E+00      1.0000E+00      1.6238E-01      2.1544E+00      2.2004E+02
1.0000E+00      1.0000E+00      1.6238E-01      5.9948E+00      1.3790E+02
1.0000E+00      1.0000E+00      1.6238E-01      1.6681E+01      8.8720E+01
1.0000E+00      1.0000E+00      1.6238E-01      4.6416E+01      5.8751E+01
1.0000E+00      1.0000E+00      1.6238E-01      1.2915E+02      4.4179E+01
1.0000E+00      1.0000E+00      1.6238E-01      3.5938E+02      4.3509E+01
1.0000E+00      1.0000E+00      1.6238E-01      1.0000E+03      5.4653E+01
1.0000E+00      1.0000E+00      2.6367E-01      1.0000E-01      1.3772E+03
1.0000E+00      1.0000E+00      2.6367E-01      2.7826E-01      8.6516E+02
1.0000E+00      1.0000E+00      2.6367E-01      7.7426E-01      4.1709E+02
1.0000E+00      1.0000E+00      2.6367E-01      2.1544E+00      2.1082E+02
1.0000E+00      1.0000E+00      2.6367E-01      5.9948E+00      1.3515E+02
1.0000E+00      1.0000E+00      2.6367E-01      1.6681E+01      8.7512E+01
1.0000E+00      1.0000E+00      2.6367E-01      4.6416E+01      5.8059E+01
1.0000E+00      1.0000E+00      2.6367E-01      1.2915E+02      4.3531E+01
1.0000E+00      1.0000E+00      2.6367E-01      3.5938E+02      4.2493E+01
1.0000E+00      1.0000E+00      2.6367E-01      1.0000E+03      5.2862E+01
1.0000E+00      1.0000E+00      4.2813E-01      1.0000E-01      8.5820E+02
1.0000E+00      1.0000E+00      4.2813E-01      2.7826E-01      6.1308E+02
1.0000E+00      1.0000E+00      4.2813E-01      7.7426E-01      3.4811E+02
1.0000E+00      1.0000E+00      4.2813E-01      2.1544E+00      1.9800E+02
1.0000E+00      1.0000E+00      4.2813E-01      5.9948E+00      1.3107E+02
1.0000E+00      1.0000E+00      4.2813E-01      1.6681E+01      8.5805E+01
1.0000E+00      1.0000E+00      4.2813E-01      4.6416E+01      5.7172E+01
1.0000E+00      1.0000E+00      4.2813E-01      1.2915E+02      4.2725E+01
1.0000E+00      1.0000E+00      4.2813E-01      3.5938E+02      4.1223E+01
1.0000E+00      1.0000E+00      4.2813E-01      1.0000E+03      5.0649E+01
1.0000E+00      1.0000E+00      6.9519E-01      1.0000E-01      5.0785E+02
1.0000E+00      1.0000E+00      6.9519E-01      2.7826E-01      4.0846E+02
1.0000E+00      1.0000E+00      6.9519E-01      7.7426E-01      2.7711E+02
1.0000E+00      1.0000E+00      6.9519E-01      2.1544E+00      1.8119E+02
1.0000E+00      1.0000E+00      6.9519E-01      5.9948E+00      1.2511E+02
1.0000E+00      1.0000E+00      6.9519E-01      1.6681E+01      8.3326E+01
1.0000E+00      1.0000E+00      6.9519E-01      4.6416E+01      5.5957E+01
1.0000E+00      1.0000E+00      6.9519E-01      1.2915E+02      4.1688E+01
1.0000E+00      1.0000E+00      6.9519E-01      3.5938E+02      3.9652E+01
1.0000E+00      1.0000E+00      6.9519E-01      1.0000E+03      4.7961E+01
1.0000E+00      1.0000E+00      1.1288E+00      1.0000E-01      3.0119E+02
1.0000E+00      1.0000E+00      1.1288E+00      2.7826E-01      2.6764E+02
1.0000E+00      1.0000E+00      1.1288E+00      7.7426E-01      2.1400E+02
